
Files already downloaded and verified
Epoch [216/500], Train Loss: 0.6113, Test Loss: 2.3938, Test Accuracy: 44.10%
Epoch [217/500], Train Loss: 0.6007, Test Loss: 1.3316, Test Accuracy: 60.48%
Epoch [218/500], Train Loss: 0.5808, Test Loss: 1.0811, Test Accuracy: 62.23%
Epoch [219/500], Train Loss: 0.6204, Test Loss: 2.0164, Test Accuracy: 45.11%
Epoch [220/500], Train Loss: 0.6434, Test Loss: 2.6585, Test Accuracy: 45.24%
Epoch [221/500], Train Loss: 0.5720, Test Loss: 1.8379, Test Accuracy: 45.19%
Epoch [222/500], Train Loss: 0.5751, Test Loss: 2.0435, Test Accuracy: 47.24%
Epoch [223/500], Train Loss: 0.6235, Test Loss: 1.8889, Test Accuracy: 49.81%
Epoch [224/500], Train Loss: 0.5820, Test Loss: 1.1117, Test Accuracy: 63.41%
Epoch [225/500], Train Loss: 0.5709, Test Loss: 1.5211, Test Accuracy: 54.23%
Epoch [226/500], Train Loss: 0.5809, Test Loss: 1.7394, Test Accuracy: 50.54%
Epoch [227/500], Train Loss: 0.5919, Test Loss: 1.5740, Test Accuracy: 53.85%
Epoch [228/500], Train Loss: 0.5850, Test Loss: 1.8825, Test Accuracy: 47.73%
Epoch [229/500], Train Loss: 0.5584, Test Loss: 2.2440, Test Accuracy: 44.43%
Epoch [230/500], Train Loss: 0.5678, Test Loss: 1.5444, Test Accuracy: 53.58%
Epoch [231/500], Train Loss: 0.5638, Test Loss: 1.2337, Test Accuracy: 62.23%
Epoch [232/500], Train Loss: 0.5409, Test Loss: 1.1381, Test Accuracy: 63.05%
Epoch [233/500], Train Loss: 0.5739, Test Loss: 2.0552, Test Accuracy: 43.75%
Epoch [234/500], Train Loss: 0.5934, Test Loss: 2.4139, Test Accuracy: 50.81%
Epoch [235/500], Train Loss: 0.5637, Test Loss: 1.0339, Test Accuracy: 65.22%
Epoch [236/500], Train Loss: 0.5344, Test Loss: 1.3015, Test Accuracy: 58.64%
Epoch [237/500], Train Loss: 0.5465, Test Loss: 3.7466, Test Accuracy: 30.61%
Epoch [238/500], Train Loss: 0.5555, Test Loss: 1.4357, Test Accuracy: 58.17%
Epoch [239/500], Train Loss: 0.5155, Test Loss: 1.4351, Test Accuracy: 58.59%
Epoch [240/500], Train Loss: 0.5209, Test Loss: 2.0143, Test Accuracy: 47.68%
Epoch [241/500], Train Loss: 0.5220, Test Loss: 1.6133, Test Accuracy: 49.06%
Epoch [242/500], Train Loss: 0.5287, Test Loss: 1.1313, Test Accuracy: 64.42%
Epoch [243/500], Train Loss: 0.5191, Test Loss: 2.4555, Test Accuracy: 43.23%
Epoch [244/500], Train Loss: 0.5471, Test Loss: 1.4146, Test Accuracy: 52.34%
Epoch [245/500], Train Loss: 0.5091, Test Loss: 1.4301, Test Accuracy: 61.71%
Epoch [246/500], Train Loss: 0.5154, Test Loss: 1.8852, Test Accuracy: 50.59%
Epoch [247/500], Train Loss: 0.5510, Test Loss: 1.5366, Test Accuracy: 55.28%
Epoch [248/500], Train Loss: 0.5334, Test Loss: 0.9025, Test Accuracy: 69.63%
Epoch [249/500], Train Loss: 0.4849, Test Loss: 1.7192, Test Accuracy: 55.17%
Epoch [250/500], Train Loss: 0.5156, Test Loss: 3.0626, Test Accuracy: 36.68%
Epoch [251/500], Train Loss: 0.5340, Test Loss: 1.7418, Test Accuracy: 50.84%
Epoch [252/500], Train Loss: 0.5282, Test Loss: 1.0438, Test Accuracy: 66.93%
Epoch [253/500], Train Loss: 0.4941, Test Loss: 1.9152, Test Accuracy: 45.66%
Epoch [254/500], Train Loss: 0.4980, Test Loss: 1.7887, Test Accuracy: 53.36%
